0,1,2,3,class
0.9444287349375261,0.3084085109749367,0.07815928530738958,0.633254829595279,1
0.3665412130388125,0.8018559176084118,0.8053135648292583,0.9226915009876456,1
0.3903352654328883,0.5815930525533833,0.38333256702517504,0.13841124763075263,0
0.5963292043781995,0.25351067848098174,0.19565924050282102,0.06343592255167285,0
0.6995264397704882,0.838169695372722,0.9447869995089484,0.892641120788963,1
0.7061338641263164,0.5473362550265586,0.19664651553555101,0.9672581642840978,1
0.1997878944048701,0.4302014011477361,0.8537764680030551,0.09103339048723258,0
0.10250117875788567,0.6419037404180155,0.07749556546240954,0.9238090105983705,0
0.17426640179392783,0.09810687798079354,0.1964152688031685,0.5810964703803072,0
0.1423516015612868,0.6145659427642554,0.8433265961879957,0.027435700413196096,0
0.8189579579430725,0.15922800645906554,0.32165497682819677,0.6416894953637644,1
0.9269764054686138,0.5888923528561703,0.027818215756496123,0.24496468796756266,1
0.5400933223142975,0.1718271855414183,0.6094858853660632,0.9313815589545692,1
0.698431142343092,0.562668800023289,0.368785798566694,0.8319050734270785,1
0.5522131396755902,0.5893973015968158,0.4313851222020222,0.334382663876276,0
0.09193784745888,0.9442104130876459,0.7586455665267391,0.32403669598997076,0
0.5299385645765153,0.26410467153865747,0.9614775516295617,0.16752560162463415,0
0.8537434068364956,0.3653229400184864,0.6931977409114148,0.7279203440468702,1
0.8607278609888654,0.5529768884401206,0.8296916914881909,0.39436987985166183,1
0.3977580290211198,0.09329568879631778,0.08026693351761893,0.3936451918778944,0
0.7188259637065637,0.037732004177864376,0.08940862847880027,0.5124829188142438,0
0.3783365595598288,0.5512941038581419,0.6894991986086246,0.6260272838176354,1
0.7672480335000282,0.9786332111578372,0.6346517813693089,0.6323156799269427,1
0.16184955729622885,0.02835080497867759,0.9629197978906917,0.5409070542393386,0
0.5056068883475898,0.05248027283333112,0.2091575913525321,0.6316104807981469,0
0.3714227064213108,0.9533200908664159,0.37300856585503805,0.9842285709186903,1
0.12991097334525736,0.9627145621184986,0.8173631399243134,0.8077475570673546,1
0.9862588838509607,0.1072450052105709,0.040964884752460407,0.8845795653695533,1
0.8922537154859008,0.234131253077293,0.7581656918323509,0.4395600384511321,1
0.6525425169753816,0.39083164281156146,0.5247183923543688,0.9053623127975091,1
0.23338461825452184,0.7625675507243059,0.8938645103240367,0.4198476526148367,1
0.714974973271479,0.8490160248981496,0.8527498194305416,0.515188742625638,1
0.5830790132021586,0.7169498124948809,0.43585927609399056,0.4801318274596075,1
